StarID,Distance,AbsMag,Spectrum,ColorIndex,X,Y,Z
357,91.57509158,2.521113192,F2V,0.444,26.9258,0.52978,-87.52552
358,1052.631579,-1.181381974,G8III,1.025,248.42351,4.94069,-1022.88542
359,58.51375073,5.253710314,G3/G5III/IV,0.639,13.28588,0.26537,-56.98485
360,214.1327623,2.606584403,K2,1.162,66.26921,1.32509,203.61599
361,294.1176471,1.387394585,K0III,1.036,92.35656,1.85041,-279.23472
362,10000000,-5.82,K2III,1.169,9428127.944,189365.9869,-3327843.745
363,465.1162791,-0.2178077,C5II,2.53,337.02842,6.77556,320.46697
364,502.5125628,0.754265382,K0III,1.149,483.21533,9.71722,-137.57685
365,628.9308176,-0.053014378,K1IV,1.181,538.03199,10.82362,-325.51251
366,515.4639175,-2.45099135,B9III,0.159,382.42925,7.69346,345.53107
367,724.6376812,-0.170604568,A2/A3IV,0.239,109.0205,2.19916,-716.38639
368,207.0393375,1.319735654,K2,1.249,206.72525,4.17172,10.60906
369,793.6507937,-0.158147274,K0,0.95,689.09603,13.94006,393.48941
370,406.504065,-0.915324464,K1III,1.26,252.53987,5.11094,-318.50125
371,1234.567901,0.362425094,M5,1.021,792.80898,16.05781,-946.23145
372,240.9638554,0.550240484,K0/K1III,1.072,80.79827,1.64394,-227.00774
373,719.4244604,-0.564925999,K2,1.508,711.94879,14.49029,-102.42315
374,163.132137,0.957302373,K0,1.1,134.79102,2.7459,91.84733
375,163.132137,3.017302373,,,134.7809,2.74628,91.86217
376,247.5247525,1.401906826,K0,0.881,245.87115,5.02818,28.11753
377,175.4385965,-0.630625722,B8III,-0.1,55.83911,1.14225,-166.31112
378,87.2600349,2.665923088,F5IV,0.422,84.28273,1.72414,22.53356
379,97.08737864,0.744186124,K1III,1.051,37.66745,0.77213,89.47919
380,136.0544218,2.891436695,G5,0.792,130.03346,2.67377,39.93689
381,406.504065,0.674675536,A2,-0.014,252.81263,5.23027,318.28284
382,240.3846154,2.155466653,F0V,0.368,203.00736,4.21043,-128.66641
383,245.0980392,1.873300815,F0,0.433,245.04515,5.08535,0.24165
384,171.2328767,2.012064236,A5,0.376,171.13417,3.56341,4.59271
385,106.7235859,4.248697954,G5,0.735,83.88135,1.74996,65.96044
386,10000000,-5.9,B2,0.652,3714689.702,78067.76156,9284125.475
387,621.1180124,-0.50587062,F2,0.556,484.04678,10.20814,389.07851
388,183.1501832,2.835963214,A3,0.394,181.96222,3.84415,20.46854
389,176.9911504,2.040242239,A0IV,0.002,153.80805,3.25327,-87.51208
390,205.7613169,5.103181346,F7,,131.58412,2.78329,158.16317
391,143.8848921,2.389924023,G0,0.43,103.5299,2.19026,99.89806
392,95.51098376,3.029733408,F5,0.478,82.62459,1.75456,47.87949
393,327.8688525,1.631499197,K0,0.964,201.88915,4.29338,258.30276
394,36.79175865,3.261247262,G2V,0.632,30.25602,0.64525,20.92343
395,317.4603175,0.801552769,A0IV/V,0.036,274.15265,5.84877,-159.95989
396,343.6426117,0.149464945,K2III,1.256,291.36969,6.22851,-182.08555
397,268.0965147,1.578544159,A0,0.082,164.0997,3.50989,211.97808
398,469.4835681,-1.748101983,B3V,0.025,245.02328,5.25669,400.43823
399,187.2659176,-0.112293715,K4IIIb,1.368,167.33438,3.60166,83.9926
400,25.6016385,5.778661195,G9V,0.755,23.51364,0.50636,10.11415
401,286.5329513,1.374127135,K5,1.614,159.95384,3.44614,237.70575
402,166.1129568,2.047982456,F5,0.475,70.75978,1.52538,150.28053
403,86.50519031,4.28478917,G3V,0.674,82.16848,1.77456,-26.98775
404,645.1612903,-0.898341509,K2,1.201,404.33567,8.74857,502.66212
405,68.82312457,3.281328071,F8V,0.55,48.07825,1.04035,49.23435
406,598.8023952,-0.256417644,M0,1.57,534.70823,11.61065,269.28907
407,45.26935265,4.850978579,G5V,0.71,15.32175,0.33279,-42.59632
408,226.7573696,1.452192947,G9III,0.986,121.91215,2.64954,191.17873
409,117.7856302,3.054538451,F5V,0.461,39.32304,0.85534,-111.02441
410,131.061599,0.88262269,G8II,0.946,116.04005,2.54157,60.87189
411,10000000,-5.17,K5,1.54,8350309.717,183171.6012,5498979.523
412,161.5508885,2.598453245,F5,1.3,64.35934,1.41281,148.17074
413,50.55611729,4.211131436,G0V,0.537,40.88294,0.89945,-29.72704
414,510.2040816,0.101280357,G6III,0.889,256.36427,5.64871,-441.08236
415,119.3317422,3.556220093,F2,0.415,117.74127,2.59749,19.24341
416,114.5475372,3.545071219,G5,0.759,114.50085,2.52721,2.07474
417,143.8848921,0.529924023,G9III:,1.099,143.84423,3.17842,-1.26291
418,222.2222222,-0.933937431,B8MNp...,-0.067,106.64238,2.37452,194.94737
419,195.3125,2.516349805,G8/K0V,0.86,143.80737,3.20998,-132.12156
420,41.84100418,4.421989505,G0V,0.577,25.66624,0.57423,-33.03912
421,395.256917,-0.574397394,K0,1.288,149.05093,3.34797,366.06097
422,184.1620626,1.473999148,F0,0.437,158.91727,3.57466,92.99563
423,70.1754386,3.909074322,G0V,0.593,32.01959,0.7213,-62.4405
424,150.1501502,0.827371146,A1Vn,0.068,105.72001,2.38205,106.59583
425,704.2253521,-0.508558278,K1III,1.124,507.7202,11.44588,-487.87553
426,150.6024096,3.480840397,F0,0.51,129.95487,2.93035,76.05411
427,89.92805755,3.920523936,G5,0.644,89.82649,2.02641,3.76157
428,11.49689584,9.647097017,M2,1.472,8.01507,0.18081,8.24041
429,159.4896332,1.086337704,K1III,1.128,134.525,3.03622,-85.61977
430,408.1632653,0.035830422,F5,0.496,328.84987,7.47404,241.65916
431,96.61835749,1.954701749,A2,0.174,78.56845,1.7887,56.20413
432,10000000,-5.52,K2,1.037,9983610.019,228636.0154,524648.993
433,714.2857143,-0.229359822,F2V,0.692,634.72203,14.55336,-327.29225
434,97.27626459,4.359965573,F3/F5V,0.538,63.61982,1.45881,-73.5735
435,16.00512164,7.468705104,K5V,1.076,6.03769,0.13959,-14.82196
436,314.4654088,0.8121356,G5,0.998,208.40911,4.81867,235.43771
437,452.4886878,-0.328038632,G5,0.991,452.14559,10.47274,-14.1666
438,188.3239171,0.705472605,B9,-0.006,67.82546,1.57798,175.679
439,233.1002331,0.092286461,G8III/IV,0.94,181.46875,4.22257,-146.24288
440,230.9468822,1.562439482,B9V,-0.06,215.0905,5.00677,-83.9492
441,39.40110323,1.632458089,K1III,1.029,39.19512,0.91269,-3.91866
442,4.360528496,10.36230436,M2V,1.462,3.46535,0.08073,-2.64555
443,775.1937984,-0.667051449,K2III,1.156,389.66247,9.09173,-670.07903
444,104.7120419,2.320016858,A1Vs,0.191,57.08265,1.33538,-87.7747
445,591.7159763,-0.600566477,G4V:p,1.052,584.60916,13.69438,90.40121
446,198.019802,1.226456891,K0III,1.093,36.91203,0.86491,-194.54715
447,148.1481481,1.056518864,G5,1.12,147.81422,3.46462,9.31805
448,101.1122346,4.135981458,G8IV,0.782,84.2934,1.97874,-55.80671
449,303.030303,1.582569699,K7,1.199,266.12384,6.27131,144.79687
450,219.7802198,1.920056983,G0,0.46,210.85624,4.97338,61.79203
451,383.1417625,1.983202537,F8,0.599,356.21173,8.4298,140.85362
452,215.0537634,0.927264764,K0,1.045,214.50794,5.07808,-14.44567
453,210.0840336,0.778034764,K0III,0.99,203.40637,4.82921,-52.32422
454,157.480315,6.003868626,,,37.30928,0.88885,152.99436
455,208.7682672,1.181677567,K0III,1.123,166.01685,3.95714,-126.51851
456,497.5124378,-1.014019713,M3III,1.62,364.42005,8.69487,-338.58684
457,325.732899,-0.594308123,K5,1.444,322.73022,7.70489,-43.44836
458,53.85029618,5.164059519,G5V,0.666,25.91404,0.6189,-47.20098
459,45.04504505,5.861764872,G5,0.735,41.68663,0.99678,17.03781
460,90.57971014,3.074845367,F8,0.494,74.97897,1.79456,50.78992
461,50.47955578,3.614422378,F5,0.446,49.75567,1.19829,-8.43343
462,10000000,-5.55,G8III/IV,0.995,8176129.363,197429.8405,-5754296.664
463,1333.333333,1.415306317,A0,0.501,1130.79975,27.31782,-705.92026
464,253.8071066,1.757481109,K2,1.249,60.15447,1.46061,246.57119
465,284.0909091,-0.037286683,K0,1.174,170.239,4.1471,227.3964
466,145.137881,3.92109611,G5V,0.725,97.89511,2.38641,-107.12542
467,235.2941176,0.50194465,K0III,0.993,112.92445,2.75776,-206.40684
468,434.7826087,-0.83136082,K3/K4III,1.444,271.99741,6.65237,-339.12986
469,2127.659574,-3.16951071,B1.5IV,-0.18,1545.40283,37.876,1461.92706
470,396.8253968,1.377002704,K5,1.537,208.51892,5.13946,-337.5853
471,235.2941176,0.13194465,K0III,1.187,132.52031,3.27459,194.39898
472,11.75088132,7.8496478,K2,1.41,8.18796,0.20265,8.42611
473,142.8571429,2.5854902,A0,0.247,101.91631,2.52673,100.07419
474,47.55111745,4.834196363,G0,0.636,24.96941,0.62041,40.46297
475,114.2857143,0.260040265,G5III,0.901,111.14173,2.76424,26.47826
476,178.8908766,3.647059039,A9/F0V,0.353,154.93726,3.86487,-89.33897
477,456.6210046,1.372220574,F3/F5V,0.524,421.70175,10.52174,-174.81322
478,534.7593583,-0.040791967,K1III,1.1,515.48382,12.86974,-141.69817
479,757.5757576,0.672869656,G5,0.923,682.90694,17.05008,327.51858
480,137.3626374,4.460656897,G5,0.677,109.98706,2.75257,-82.24209
481,168.0672269,1.622584829,F2+...,0.414,159.93536,4.00662,51.48997
482,249.3765586,2.225721863,A0,0.097,38.69161,0.97198,246.35478
483,10000000,-5.34,G5V,0.787,9413499.402,236914.8883,-3365991.734
484,381.6793893,0.561506457,A0,0.045,259.79616,6.56606,279.5389
